algoritmo;antes;configuracion;despues;disc_cont;escalax;escalay;lugar;metodoescalar;num_train;patron;r2;rmse;tipo;variables
SVR model con Kernel linear;2;"{'kernel': 'linear', 'C': 10, 'probability': False, 'degree': 1, 'epsilon': 0.1, 'shrinking': True, 'max_iter': -1, 'random_state': None, 'tol': 0.001, 'cache_size': 200, 'coef0': 0.0, 'gamma': 0.0, 'verbose': False} [[ -1.01694915e-01   3.58024691e-01   7.28925620e-01 ...,  -1.14285714e-01
    7.60000000e-01   4.76420000e+03]
 [  1.18644068e-01   8.64197531e-02   4.24793388e-01 ...,  -2.28571429e-01
    9.00000000e-01   4.50041000e+03]
 [  1.35593220e-01   1.11111111e-01   4.44628099e-01 ...,  -6.57142857e-01
    6.40000000e-01   4.40366000e+03]
 ..., 
 [  3.05084746e-01   2.79012346e-01   6.72727273e-01 ...,   4.28571429e-01
    8.80000000e-01   5.34127000e+03]
 [  3.13559322e-01  -4.19753086e-02   4.77685950e-01 ...,   6.57142857e-01
    9.60000000e-01   5.30670000e+03]
 [  1.15254237e-01   2.34567901e-01   3.85123967e-01 ...,   7.14285714e-01
    1.00000000e+00   5.09233000e+03]]";2;Segun-Config;1;0;28 Millas;5;577; 2S-Period-P 2;0.462395493;452.5380508;50;Todas
SVR model con Kernel linear;3;"{'kernel': 'linear', 'C': 10, 'probability': False, 'degree': 1, 'epsilon': 0.1, 'shrinking': True, 'max_iter': -1, 'random_state': None, 'tol': 0.001, 'cache_size': 200, 'coef0': 0.0, 'gamma': 0.0, 'verbose': False} [[ -1.01694915e-01   3.58024691e-01   7.28925620e-01 ...,  -2.28571429e-01
    9.00000000e-01   4.50041000e+03]
 [  1.18644068e-01   8.64197531e-02   4.24793388e-01 ...,  -6.57142857e-01
    6.40000000e-01   4.40366000e+03]
 [  1.35593220e-01   1.11111111e-01   4.44628099e-01 ...,  -4.28571429e-01
    7.20000000e-01   4.29660000e+03]
 ..., 
 [  1.69491525e-02   3.60493827e-01   4.31404959e-01 ...,   4.28571429e-01
    8.80000000e-01   5.34127000e+03]
 [  3.05084746e-01   2.79012346e-01   6.72727273e-01 ...,   6.57142857e-01
    9.60000000e-01   5.30670000e+03]
 [  3.13559322e-01  -4.19753086e-02   4.77685950e-01 ...,   7.14285714e-01
    1.00000000e+00   5.09233000e+03]]";2;Segun-Config;1;0;28 Millas;5;576; 3S-Period-P 2;0.495932807;423.1196987;50;Todas
SVR model con Kernel linear;1;"{'kernel': 'linear', 'C': 10, 'probability': False, 'degree': 1, 'epsilon': 0.1, 'shrinking': True, 'max_iter': -1, 'random_state': None, 'tol': 0.001, 'cache_size': 200, 'coef0': 0.0, 'gamma': 0.0, 'verbose': False} [[ -1.01694915e-01   3.58024691e-01   7.28925620e-01 ...,  -3.42857143e-01
    4.80000000e-01   4.48365000e+03]
 [  1.18644068e-01   8.64197531e-02   4.24793388e-01 ...,  -1.14285714e-01
    7.60000000e-01   4.76420000e+03]
 [  1.35593220e-01   1.11111111e-01   4.44628099e-01 ...,  -2.28571429e-01
    9.00000000e-01   4.50041000e+03]
 ..., 
 [  1.35593220e-01   2.12345679e-01   3.95041322e-01 ...,   5.42857143e-01
    8.40000000e-01   5.51376000e+03]
 [  1.45762712e-01   1.70370370e-01   6.95867769e-01 ...,   7.42857143e-01
    9.60000000e-01   5.18678000e+03]
 [  2.30508475e-01   1.48148148e-02   5.76859504e-01 ...,   4.28571429e-01
    9.60000000e-01   6.12564000e+03]]";1;Segun-Config;1;0;28 Millas;5;529; 1S-Period-P 1;0.595098815;353.3291105;100;Todas
SVR model con Kernel linear;2;"{'kernel': 'linear', 'C': 10, 'probability': False, 'degree': 1, 'epsilon': 0.1, 'shrinking': True, 'max_iter': -1, 'random_state': None, 'tol': 0.001, 'cache_size': 200, 'coef0': 0.0, 'gamma': 0.0, 'verbose': False} [[ -1.01694915e-01   3.58024691e-01   7.28925620e-01 ...,  -1.14285714e-01
    7.60000000e-01   4.76420000e+03]
 [  1.18644068e-01   8.64197531e-02   4.24793388e-01 ...,  -2.28571429e-01
    9.00000000e-01   4.50041000e+03]
 [  1.35593220e-01   1.11111111e-01   4.44628099e-01 ...,  -6.57142857e-01
    6.40000000e-01   4.40366000e+03]
 ..., 
 [  1.64406780e-01  -7.16049383e-02   3.65289256e-01 ...,   5.42857143e-01
    8.40000000e-01   5.51376000e+03]
 [  1.35593220e-01   2.12345679e-01   3.95041322e-01 ...,   7.42857143e-01
    9.60000000e-01   5.18678000e+03]
 [  1.45762712e-01   1.70370370e-01   6.95867769e-01 ...,   4.28571429e-01
    9.60000000e-01   6.12564000e+03]]";1;Segun-Config;1;0;28 Millas;5;528; 2S-Period-P 1;0.573481727;369.4098473;100;Todas
SVR model con Kernel linear;2;"{'kernel': 'linear', 'C': 10, 'probability': False, 'degree': 1, 'epsilon': 0.1, 'shrinking': True, 'max_iter': -1, 'random_state': None, 'tol': 0.001, 'cache_size': 200, 'coef0': 0.0, 'gamma': 0.0, 'verbose': False} [[ -1.01694915e-01   3.58024691e-01   7.28925620e-01 ...,  -1.14285714e-01
    7.60000000e-01   4.76420000e+03]
 [  1.18644068e-01   8.64197531e-02   4.24793388e-01 ...,  -2.28571429e-01
    9.00000000e-01   4.50041000e+03]
 [  1.35593220e-01   1.11111111e-01   4.44628099e-01 ...,  -6.57142857e-01
    6.40000000e-01   4.40366000e+03]
 ..., 
 [  1.96610169e-01   1.40740741e-01   6.69421488e-01 ...,   5.42857143e-01
    9.20000000e-01   6.21890000e+03]
 [  1.64406780e-01  -7.16049383e-02   3.65289256e-01 ...,   5.42857143e-01
    8.40000000e-01   5.51376000e+03]
 [  1.35593220e-01   2.12345679e-01   3.95041322e-01 ...,   7.42857143e-01
    9.60000000e-01   5.18678000e+03]]";2;Segun-Config;1;0;28 Millas;5;527; 2S-Period-P 2;0.516545367;414.3954002;100;Todas
SVR model con Kernel linear;3;"{'kernel': 'linear', 'C': 10, 'probability': False, 'degree': 1, 'epsilon': 0.1, 'shrinking': True, 'max_iter': -1, 'random_state': None, 'tol': 0.001, 'cache_size': 200, 'coef0': 0.0, 'gamma': 0.0, 'verbose': False} [[ -1.01694915e-01   3.58024691e-01   7.28925620e-01 ...,  -2.28571429e-01
    9.00000000e-01   4.50041000e+03]
 [  1.18644068e-01   8.64197531e-02   4.24793388e-01 ...,  -6.57142857e-01
    6.40000000e-01   4.40366000e+03]
 [  1.35593220e-01   1.11111111e-01   4.44628099e-01 ...,  -4.28571429e-01
    7.20000000e-01   4.29660000e+03]
 ..., 
 [  2.49152542e-01   2.61728395e-01   5.00826446e-01 ...,   5.42857143e-01
    9.20000000e-01   6.21890000e+03]
 [  1.96610169e-01   1.40740741e-01   6.69421488e-01 ...,   5.42857143e-01
    8.40000000e-01   5.51376000e+03]
 [  1.64406780e-01  -7.16049383e-02   3.65289256e-01 ...,   7.42857143e-01
    9.60000000e-01   5.18678000e+03]]";2;Segun-Config;1;0;28 Millas;5;526; 3S-Period-P 2;0.531231158;402.3730617;100;Todas
ElasticNet;1;{'normalize': False, 'warm_start': False, 'fit_intercept': False, 'l1_ratio': 0.5, 'max_iter': 1000, 'precompute': 'auto', 'tol': 0.0001, 'positive': False, 'copy_X': True, 'alpha': 0.5} - [ 30.91045759   0.99487753];1;Segun-Config;1;0;28 Millas;5;579; 1S-Period-P 1;0.476644974;439.8588943;50;Unica*1
LinearRegression;1;{'copy_X': True, 'normalize': False, 'fit_intercept': False} - [ 108.37851751    0.99081566];1;Segun-Config;1;0;28 Millas;5;579; 1S-Period-P 1;0.478521527;438.2078371;50;Unica*1
Ridge;1;{'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.1} - [ 108.19705112    0.99082518];1;Segun-Config;1;0;28 Millas;5;579; 1S-Period-P 1;0.478519091;438.2099755;50;Unica*1
ElasticNet;2;{'normalize': False, 'warm_start': False, 'fit_intercept': False, 'l1_ratio': 0.5, 'max_iter': 1000, 'precompute': 'auto', 'tol': 0.0001, 'positive': False, 'copy_X': True, 'alpha': 0.5} - [  5.01127042   0.24619519  32.23052495   0.74926988];1;Segun-Config;1;0;28 Millas;5;578; 2S-Period-P 1;0.483986164;433.4379037;50;Unica*1
LinearRegression;2;{'copy_X': True, 'normalize': False, 'fit_intercept': False} - [ -92.63133239    0.24893719  184.69699923    0.74368847];1;Segun-Config;1;0;28 Millas;5;578; 2S-Period-P 1;0.493523998;425.2437952;50;Unica*1
Ridge;2;{'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.1} - [ -91.7964659     0.24891878  183.77519939    0.74371122];1;Segun-Config;1;0;28 Millas;5;578; 2S-Period-P 1;0.493468429;425.2910672;50;Unica*1
ElasticNet;2;{'normalize': False, 'warm_start': False, 'fit_intercept': False, 'l1_ratio': 0.5, 'max_iter': 1000, 'precompute': 'auto', 'tol': 0.0001, 'positive': False, 'copy_X': True, 'alpha': 0.5} - [  0.           0.3054867   38.94890114   0.68841706];2;Segun-Config;1;0;28 Millas;5;577; 2S-Period-P 2;0.38357028;532.046704;50;Unica*1
LinearRegression;2;{'copy_X': True, 'normalize': False, 'fit_intercept': False} - [-150.71187636    0.30929444  247.02362438    0.68167006];2;Segun-Config;1;0;28 Millas;5;577; 2S-Period-P 2;0.384335873;531.1863554;50;Unica*1
Ridge;2;{'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.1} - [-149.49645271    0.30926871  245.71602725    0.68170021];2;Segun-Config;1;0;28 Millas;5;577; 2S-Period-P 2;0.384339593;531.1821809;50;Unica*1
ElasticNet;3;"{'normalize': False, 'warm_start': False, 'fit_intercept': False, 'l1_ratio': 0.5, 'max_iter': 1000, 'precompute': 'auto', 'tol': 0.0001, 'positive': False, 'copy_X': True, 'alpha': 0.5} - [ -5.08942615   0.23584891   5.28101632   0.12700229  43.69528419
   0.63162176]";2;Segun-Config;1;0;28 Millas;5;576; 3S-Period-P 2;0.425545838;487.6238783;50;Unica*1
LinearRegression;3;"{'copy_X': True, 'normalize': False, 'fit_intercept': False} - [ -1.47182617e+02   2.42546889e-01  -6.49162674e+01   1.32266064e-01
   3.02492892e+02   6.17338572e-01]";2;Segun-Config;1;0;28 Millas;5;576; 3S-Period-P 2;0.423115151;490.0560173;50;Unica*1
Ridge;3;"{'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.1} - [ -1.46303573e+02   2.42518749e-01  -6.42989433e+01   1.32227580e-01
   3.00923892e+02   6.17408393e-01]";2;Segun-Config;1;0;28 Millas;5;576; 3S-Period-P 2;0.423151466;490.019564;50;Unica*1
ElasticNet;8;"{'normalize': False, 'warm_start': False, 'fit_intercept': False, 'l1_ratio': 0.5, 'max_iter': 1000, 'precompute': 'auto', 'tol': 0.0001, 'positive': False, 'copy_X': True, 'alpha': 0.5} - [ -3.88865636e+01   5.43427065e-02  -1.11128946e+01   1.78055116e-01
   7.40751498e+00   8.73494003e-02   1.20470940e+01   1.07792334e-01
   1.78208366e+01   6.68687682e-02   2.96357497e+01   4.42669852e-02
   3.23136499e+01   8.10668423e-02   5.92013743e+01   3.73547296e-01]";3;Segun-Config;1;0;28 Millas;5;570; 8S-Period-P 3;0.445428793;470.6367606;50;Unica*1
LinearRegression;8;"{'copy_X': True, 'normalize': False, 'fit_intercept': False} - [ -2.60562837e+02   6.50368256e-02  -3.96577284e+01   2.00513820e-01
   9.18294227e+01   9.83865226e-02   2.74478829e+01   9.28781263e-02
   1.97073132e+01   5.29668240e-02   5.38040422e+01   5.15839254e-02
   1.30994385e+01   7.88677375e-02   2.53032079e+02   3.50669842e-01]";3;Segun-Config;1;0;28 Millas;5;570; 8S-Period-P 3;0.463098798;454.1577102;50;Unica*1
Ridge;8;"{'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.1} - [ -2.59462025e+02   6.50406218e-02  -3.97875940e+01   2.00442662e-01
   9.10350176e+01   9.83417440e-02   2.74150836e+01   9.29460063e-02
   1.97865377e+01   5.30176764e-02   5.39029724e+01   5.15336635e-02
   1.36840827e+01   7.88468349e-02   2.52107787e+02   3.50734810e-01]";3;Segun-Config;1;0;28 Millas;5;570; 8S-Period-P 3;0.463078973;454.1758175;50;Unica*1
ElasticNet;10;"{'normalize': False, 'warm_start': False, 'fit_intercept': False, 'l1_ratio': 0.5, 'max_iter': 1000, 'precompute': 'auto', 'tol': 0.0001, 'positive': False, 'copy_X': True, 'alpha': 0.5} - [ -9.09661973e+01  -2.72876843e-02  -4.88355668e+01   4.35599475e-02
  -2.06333514e+01   4.41556501e-02   2.70171245e+00   1.77261589e-01
   2.03130545e+01   9.00016936e-02   2.13591850e+01   1.12073351e-01
   2.52785220e+01   6.95397777e-02   3.58232937e+01   4.23273850e-02
   3.44050456e+01   7.64883397e-02   5.96315019e+01   3.68878041e-01]";3;Segun-Config;1;0;28 Millas;5;568;10S-Period-P 3;0.447862019;468.3257372;50;Unica*1
LinearRegression;10;"{'copy_X': True, 'normalize': False, 'fit_intercept': False} - [ -4.87538781e+02  -7.98944555e-04  -1.29318175e+02   7.37221349e-02
   8.88854803e+00   5.28377314e-02   1.12373071e+02   1.75503898e-01
   1.92554200e+02   7.47084627e-02   6.23614744e+01   9.59598943e-02
   2.76585526e+01   5.56116184e-02   6.18838646e+01   4.28985689e-02
  -4.01418442e+01   8.57777940e-02   1.98238860e+02   3.42707612e-01]";3;Segun-Config;1;0;28 Millas;5;568;10S-Period-P 3;0.441181605;474.7040968;50;Unica*1
Ridge;10;"{'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.1} - [ -4.85490192e+02  -8.59375212e-04  -1.29436231e+02   7.35972141e-02
   8.41764233e+00   5.28652437e-02   1.11704401e+02   1.75559502e-01
   1.91426943e+02   7.47614351e-02   6.24339737e+01   9.59804338e-02
   2.78989888e+01   5.56418487e-02   6.19251080e+01   4.28814310e-02
  -3.91646215e+01   8.56958432e-02   1.97544507e+02   3.42789097e-01]";3;Segun-Config;1;0;28 Millas;5;568;10S-Period-P 3;0.441336627;474.5548811;50;Unica*1
ElasticNet;12;"{'normalize': False, 'warm_start': False, 'fit_intercept': False, 'l1_ratio': 0.5, 'max_iter': 1000, 'precompute': 'auto', 'tol': 0.0001, 'positive': False, 'copy_X': True, 'alpha': 0.5} - [ -9.82072759e+01  -2.77810855e-02  -8.61387661e+01   5.21325848e-02
  -6.65060539e+01  -3.20371334e-02  -2.83688091e+01   4.76721104e-02
  -3.18646382e+00   5.13362849e-02   1.67919987e+01   1.86654346e-01
   3.17390216e+01   1.00385293e-01   3.09068206e+01   1.13060662e-01
   3.15164770e+01   5.90671641e-02   4.04300907e+01   3.62965522e-02
   3.47081468e+01   6.06220749e-02   5.69048127e+01   3.54160189e-01]";3;Segun-Config;1;0;28 Millas;5;566;12S-Period-P 3;0.458309191;458.5564231;50;Unica*1
LinearRegression;12;"{'copy_X': True, 'normalize': False, 'fit_intercept': False} - [ -3.29737775e+02   2.66827169e-03  -2.84441710e+02   7.86202027e-02
  -2.25538841e+02  -1.34856180e-02   1.66216206e+01   5.86991043e-02
   1.00465562e+02   3.59353591e-02   1.64917066e+02   1.68444207e-01
   2.08276720e+02   8.02288599e-02   7.17075839e+01   9.00305648e-02
   4.15333484e+00   5.50361382e-02   5.47721204e+01   5.72916166e-02
  -5.59531669e+01   7.49375398e-02   1.41021316e+02   3.18151813e-01]";3;Segun-Config;1;0;28 Millas;5;566;12S-Period-P 3;0.465756961;451.7374436;50;Unica*1
Ridge;12;"{'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.1} - [ -3.28979936e+02   2.61909325e-03  -2.83806304e+02   7.85276893e-02
  -2.24798449e+02  -1.35175904e-02   1.61119241e+01   5.86466027e-02
   9.98663567e+01   3.60060873e-02   1.64248779e+02   1.68501788e-01
   2.07331105e+02   8.02544208e-02   7.18092406e+01   9.00659080e-02
   4.61025925e+00   5.50412994e-02   5.48007875e+01   5.72386740e-02
  -5.50792828e+01   7.48910100e-02   1.40546906e+02   3.18262235e-01]";3;Segun-Config;1;0;28 Millas;5;566;12S-Period-P 3;0.465854666;451.6487637;50;Unica*1
ElasticNet;1;"{'normalize': False, 'warm_start': False, 'fit_intercept': False, 'l1_ratio': 0.5, 'max_iter': 1000, 'precompute': 'auto', 'tol': 0.0001, 'positive': False, 'copy_X': True, 'alpha': 0.5} - [-12.35271598  21.77701018  18.41698678  28.80118597  11.73385656
  30.21774973   8.37400264 -42.31629696 -16.46259434 -14.31884564
 -27.77821239 -40.25235965 -21.39977266   0.98392479]";1;Segun-Config;1;0;28 Millas;5;579; 1S-Period-P 1;0.487949551;430.0130159;50;Todas
LinearRegression;1;"{'copy_X': True, 'normalize': False, 'fit_intercept': False} - [-393.44071078    4.2218192   309.66468245  883.26347972 -529.61498063
  -86.21985435   48.16807601 -275.61207337  -96.4190885   -17.40216989
  -34.63483157  -56.79230627  -96.31608183    0.90359831]";1;Segun-Config;1;0;28 Millas;5;579; 1S-Period-P 1;0.49940684;420.2695254;50;Todas
Ridge;1;"{'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.1} - [-379.27792829    9.72312872  293.01180288  846.86037086 -497.25742501
  -79.86036445   47.86408315 -273.66529198  -96.12832076  -17.8621221
  -34.0157452   -58.20221336  -96.25968942    0.90562851]";1;Segun-Config;1;0;28 Millas;5;579; 1S-Period-P 1;0.499642797;420.0712411;50;Todas
ElasticNet;2;"{'normalize': False, 'warm_start': False, 'fit_intercept': False, 'l1_ratio': 0.5, 'max_iter': 1000, 'precompute': 'auto', 'tol': 0.0001, 'positive': False, 'copy_X': True, 'alpha': 0.5} - [-22.0861801   10.48715225  -0.69070184  33.43721864  24.50178771
  30.72361744 -15.95002986 -26.51762426   0.          -0.79549222
  -2.26901951 -50.06533381 -28.78013783   0.24906798  -7.87567948
  19.56568055  20.77358625  13.13601941   1.05002965   8.73765963
  10.85556644 -32.34582418 -13.89433608 -14.03404804  -9.46368416
 -23.33295388 -30.79833382   0.73743724]";1;Segun-Config;1;0;28 Millas;5;578; 2S-Period-P 1;0.501982843;418.1098534;50;Todas
LinearRegression;2;"{'copy_X': True, 'normalize': False, 'fit_intercept': False} - [ -1.90744964e+02  -3.82885465e+01   1.19018482e+02   4.84829222e+02
  -5.80226408e+00   5.55013291e+01  -1.27775729e+02  -2.51019541e+02
  -7.23496142e+00   7.21418338e+01   8.80137579e+01  -1.56618650e+02
  -1.42696248e+02   2.39911699e-01  -2.68259664e+02   6.59809810e+01
   2.14503436e+02   5.22975247e+02  -5.82237835e+02  -1.57420140e+02
   1.06891410e+02  -1.47349979e+02  -6.85102481e+01  -1.04580886e+02
  -1.66933086e+01   2.09883358e+01  -7.95570578e+01   6.66727460e-01]";1;Segun-Config;1;0;28 Millas;5;578; 2S-Period-P 1;0.521767643;401.8774093;50;Todas
Ridge;2;"{'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.1} - [ -1.88084987e+02  -3.58302076e+01   1.14031291e+02   4.74088702e+02
  -6.67441637e-01   5.74712707e+01  -1.27151683e+02  -2.49635855e+02
  -7.25332988e+00   7.22138941e+01   8.84619267e+01  -1.57321714e+02
  -1.41427015e+02   2.40492338e-01  -2.57973363e+02   6.85405123e+01
   2.04039672e+02   4.97930506e+02  -5.55783532e+02  -1.53193072e+02
   1.06355896e+02  -1.46128956e+02  -6.84414824e+01  -1.04411887e+02
  -1.63727919e+01   2.02612703e+01  -8.04161256e+01   6.68166778e-01]";1;Segun-Config;1;0;28 Millas;5;578; 2S-Period-P 1;0.522004058;401.6870705;50;Todas
ElasticNet;1;"{'normalize': False, 'warm_start': False, 'fit_intercept': False, 'l1_ratio': 0.5, 'max_iter': 1000, 'precompute': 'auto', 'tol': 0.0001, 'positive': False, 'copy_X': True, 'alpha': 0.5} - [-13.34738794  22.36320317  15.7243206   28.70276371  12.22984431
  29.21803676   6.33862408 -45.41833213 -15.04878643 -14.73911742
 -24.47228259 -40.23395446 -24.85664201   0.98421155]";1;Segun-Config;1;0;28 Millas;5;529; 1S-Period-P 1;0.549393088;387.933039;100;Todas
LinearRegression;1;"{'copy_X': True, 'normalize': False, 'fit_intercept': False} - [-351.11564094   28.65039614  250.57966504  852.18631876 -515.4979263
  -81.81343464   41.9573181  -302.96173124  -91.59765781  -21.88859103
  -25.88777934  -47.56798886 -117.33265262    0.907743  ]";1;Segun-Config;1;0;28 Millas;5;529; 1S-Period-P 1;0.564518242;376.2230785;100;Todas
Ridge;1;"{'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.1} - [-337.95595025   33.92974863  234.53212952  813.64568483 -481.39773648
  -75.22658064   41.18156965 -300.36455348  -90.94072028  -22.22235595
  -25.24104212  -49.39775624 -117.11381258    0.90989361]";1;Segun-Config;1;0;28 Millas;5;529; 1S-Period-P 1;0.564474165;376.2568066;100;Todas
ElasticNet;2;"{'normalize': False, 'warm_start': False, 'fit_intercept': False, 'l1_ratio': 0.5, 'max_iter': 1000, 'precompute': 'auto', 'tol': 0.0001, 'positive': False, 'copy_X': True, 'alpha': 0.5} - [-25.49018346   7.37900966  -2.98988758  31.38706526  25.13919283
  31.14719119 -14.9543079  -26.62174065   0.11262265  -0.          -2.12923626
 -54.6357821  -33.80831698   0.25669713  -8.70867133  21.47698979
  19.07338683  12.39016225   0.99918675   7.16931892   8.08736941
 -35.28259967 -12.35256506 -15.62309155  -4.40748904 -21.61778128
 -34.06208732   0.73132998]";1;Segun-Config;1;0;28 Millas;5;528; 2S-Period-P 1;0.558365809;380.9529804;100;Todas
LinearRegression;2;"{'copy_X': True, 'normalize': False, 'fit_intercept': False} - [ -1.94338813e+02  -3.75602358e+01   8.32962691e+01   4.10307577e+02
   4.54055551e+01   6.79360460e+01  -1.14572158e+02  -2.41654276e+02
  -1.52701226e+01   6.63295510e+01   9.44135315e+01  -1.68025633e+02
  -1.68614362e+02   2.58055168e-01  -2.24580530e+02   9.46096335e+01
   1.76721174e+02   5.08845597e+02  -5.84123570e+02  -1.56431071e+02
   9.00431846e+01  -1.73051155e+02  -5.76239540e+01  -1.02075356e+02
  -1.10292105e+00   3.04102645e+01  -8.49867387e+01   6.59438401e-01]";1;Segun-Config;1;0;28 Millas;5;528; 2S-Period-P 1;0.5758446;367.6285998;100;Todas
Ridge;2;"{'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.1} - [ -1.92636041e+02  -3.53517929e+01   7.95125744e+01   4.00509774e+02
   4.92771079e+01   6.97817775e+01  -1.14363959e+02  -2.40110134e+02
  -1.50941522e+01   6.67967756e+01   9.45726679e+01  -1.68657069e+02
  -1.67080408e+02   2.58588788e-01  -2.15002340e+02   9.69932596e+01
   1.66243062e+02   4.80944245e+02  -5.54983075e+02  -1.51876721e+02
   8.93424466e+01  -1.71275437e+02  -5.72746080e+01  -1.02175868e+02
  -7.95763077e-01   2.94869157e+01  -8.59605767e+01   6.61003915e-01]";1;Segun-Config;1;0;28 Millas;5;528; 2S-Period-P 1;0.575826316;367.6423598;100;Todas
ElasticNet;1;{'normalize': False, 'warm_start': False, 'fit_intercept': False, 'l1_ratio': 0.5, 'max_iter': 1000, 'precompute': 'auto', 'tol': 0.0001, 'positive': False, 'copy_X': True, 'alpha': 0.5} - [ 28.94719782   0.9948692 ];1;Segun-Config;1;0;28 Millas;5;529; 1S-Period-P 1;0.539262055;395.9373745;100;Unica*1
LinearRegression;1;{'copy_X': True, 'normalize': False, 'fit_intercept': False} - [ 99.94927472   0.99124889];1;Segun-Config;1;0;28 Millas;5;529; 1S-Period-P 1;0.541838084;393.8892872;100;Unica*1
Ridge;1;{'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': None, 'tol': 0.001, 'copy_X': True, 'alpha': 0.1} - [ 99.77040874   0.99125801];1;Segun-Config;1;0;28 Millas;5;529; 1S-Period-P 1;0.541833934;393.8925791;100;Unica*1
ElasticNet;2;{'normalize': False, 'warm_start': False, 'fit_intercept': False, 'l1_ratio': 0.5, 'max_iter': 1000, 'precompute': 'auto', 'tol': 0.0001, 'positive': False, 'copy_X': True, 'alpha': 0.5} - [  3.09227423   0.25158305  31.03306706   0.74408053];1;Segun-Config;1;0;28 Millas;5;528; 2S-Period-P 1;0.545240848;391.1974099;100;Unica*1
LinearRegression;2;{'copy_X': True, 'normalize': False, 'fit_intercept': False} - [ -96.21362806    0.2546847   179.89463688    0.73849594];1;Segun-Config;1;0;28 Millas;5;528; 2S-Period-P 1;0.552199791;385.7389254;100;Unica*1
